tp,tv,ab,td,ttm
27982000,0.005,ASK,2022-10-18,03:59:53
27983000,0.00017872,BID,2022-10-18,03:59:54
27983000,0.04814248,BID,2022-10-18,03:59:54
27983000,0.00081638,ASK,2022-10-18,03:59:59
27983000,0.00142443,ASK,2022-10-18,03:59:59
27983000,0.00150736,ASK,2022-10-18,04:00:00
27985000,0.00017866,BID,2022-10-18,04:00:00
27985000,0.00017866,BID,2022-10-18,04:00:01
27983000,0.0031417,ASK,2022-10-18,04:00:05
27985000,0.00021847,BID,2022-10-18,04:00:06
27983000,0.00034382,ASK,2022-10-18,04:00:11
27985000,0.01208822,BID,2022-10-18,04:00:11
27985000,0.24050519,BID,2022-10-18,04:00:11
27983000,0.35718123,ASK,2022-10-18,04:00:13
27982000,0.06243208,ASK,2022-10-18,04:00:13
27981000,0.24704391,ASK,2022-10-18,04:00:13
27982000,0.67593566,ASK,2022-10-18,04:00:13
27982000,0.06163639,ASK,2022-10-18,04:00:13
27983000,0.27388284,ASK,2022-10-18,04:00:13
27982000,0.0053579,ASK,2022-10-18,04:00:13
27983000,0.00071436,ASK,2022-10-18,04:00:13
27985000,0.08946414,BID,2022-10-18,04:00:16
27981000,0.84209219,ASK,2022-10-18,04:00:18
27985000,0.00035733,BID,2022-10-18,04:00:23
27985000,0.01960589,BID,2022-10-18,04:00:23
27985000,0.01854913,BID,2022-10-18,04:00:23
27985000,0.00347737,BID,2022-10-18,04:00:30
27985000,0.00539411,BID,2022-10-18,04:00:30
27987000,0.01037264,BID,2022-10-18,04:00:31
27987000,0.0001787,BID,2022-10-18,04:00:31
27990000,0.00726865,BID,2022-10-18,04:00:31
27990000,0.03528234,BID,2022-10-18,04:00:34
27990000,0.00017868,BID,2022-10-18,04:00:34
27990000,0.12797824,BID,2022-10-18,04:00:34
27990000,0.05479047,BID,2022-10-18,04:00:36
27990000,0.00092415,BID,2022-10-18,04:00:38
27990000,0.00071454,BID,2022-10-18,04:00:38
27990000,0.00029666,BID,2022-10-18,04:00:39
27990000,0.00071455,BID,2022-10-18,04:00:39
27990000,0.0155926,BID,2022-10-18,04:00:39
27990000,0.01911047,BID,2022-10-18,04:00:39
27990000,0.00069178,BID,2022-10-18,04:00:40
27985000,0.04670041,ASK,2022-10-18,04:00:42
27990000,0.00161409,BID,2022-10-18,04:00:51
27990000,0.01166293,BID,2022-10-18,04:00:51
27986000,0.01,ASK,2022-10-18,04:00:51
27990000,0.00035733,BID,2022-10-18,04:00:52
27990000,0.17100583,BID,2022-10-18,04:00:57
27990000,0.00676,ASK,2022-10-18,04:00:57
27990000,0.0216,ASK,2022-10-18,04:00:59
27990000,0.013167,ASK,2022-10-18,04:01:00
27990000,0.0061,ASK,2022-10-18,04:01:01
27990000,0.00102204,ASK,2022-10-18,04:01:01
27990000,0.02557796,ASK,2022-10-18,04:01:01
27990000,0.00612336,ASK,2022-10-18,04:01:03
27986000,0.00475664,ASK,2022-10-18,04:01:04
