tp,tv,ab,td,ttm
28386000,0.01068724,BID,2022-10-07,04:52:55
28386000,0.00070457,BID,2022-10-07,04:52:56
28386000,0.01068724,BID,2022-10-07,04:52:56
28386000,0.00484242,BID,2022-10-07,04:53:00
28386000,0.24647719,BID,2022-10-07,04:53:01
28386000,0.00485309,BID,2022-10-07,04:53:01
28386000,0.00874694,BID,2022-10-07,04:53:01
28386000,0.02251726,BID,2022-10-07,04:53:02
28386000,0.03448274,BID,2022-10-07,04:53:02
28386000,0.03522863,BID,2022-10-07,04:53:02
28386000,0.00350746,BID,2022-10-07,04:53:03
28386000,0.00531475,BID,2022-10-07,04:53:03
28386000,0.027,BID,2022-10-07,04:53:06
28386000,0.00035228,BID,2022-10-07,04:53:07
28386000,0.0488981,BID,2022-10-07,04:53:07
28394000,0.01056561,BID,2022-10-07,04:53:08
28386000,0.108429,ASK,2022-10-07,04:53:09
28386000,0.0092332,ASK,2022-10-07,04:53:09
28386000,0.02892021,ASK,2022-10-07,04:53:10
28386000,0.0007808,ASK,2022-10-07,04:53:12
28386000,0.07510375,ASK,2022-10-07,04:53:15
28386000,0.04,ASK,2022-10-07,04:53:17
28386000,0.02307217,ASK,2022-10-07,04:53:22
28386000,0.01460008,ASK,2022-10-07,04:53:36
28385000,0.01056896,ASK,2022-10-07,04:53:40
28385000,0.01056896,ASK,2022-10-07,04:53:40
28385000,0.00018933,ASK,2022-10-07,04:53:40
28385000,0.00352122,ASK,2022-10-07,04:53:40
28385000,0.0043747,ASK,2022-10-07,04:53:40
28386000,0.02494708,ASK,2022-10-07,04:53:40
28386000,0.15215625,ASK,2022-10-07,04:53:40
28386000,0.00352286,ASK,2022-10-07,04:53:40
28385000,0.00195064,ASK,2022-10-07,04:53:40
28386000,0.00271433,ASK,2022-10-07,04:53:40
28386000,0.00324902,ASK,2022-10-07,04:53:40
28385000,0.00035141,ASK,2022-10-07,04:53:44
28385000,0.00704597,ASK,2022-10-07,04:53:44
28385000,0.00051526,ASK,2022-10-07,04:53:44
28385000,0.00080003,BID,2022-10-07,04:53:44
28385000,0.03983877,BID,2022-10-07,04:53:51
28385000,0.0089,BID,2022-10-07,04:53:55
28385000,0.00264214,BID,2022-10-07,04:53:55
28385000,0.02679067,BID,2022-10-07,04:53:57
28386000,0.012,BID,2022-10-07,04:53:58
28386000,0.0049,BID,2022-10-07,04:53:59
28386000,0.0082,BID,2022-10-07,04:54:01
28386000,0.00062354,BID,2022-10-07,04:54:01
28385000,0.01545023,ASK,2022-10-07,04:54:02
28386000,0.0041,BID,2022-10-07,04:54:03
28386000,0.00995707,BID,2022-10-07,04:54:05
28386000,0.0429,BID,2022-10-07,04:54:06
28386000,0.0358,BID,2022-10-07,04:54:08
28386000,0.0091,BID,2022-10-07,04:54:10
28386000,0.0049,BID,2022-10-07,04:54:12
28386000,0.0106,BID,2022-10-07,04:54:14
28386000,0.01,BID,2022-10-07,04:54:16
28386000,0.11625553,BID,2022-10-07,04:54:17
28386000,0.09351982,BID,2022-10-07,04:54:17
28386000,0.00159645,BID,2022-10-07,04:54:17
28386000,0.0060093,BID,2022-10-07,04:54:18
28386000,0.0573907,BID,2022-10-07,04:54:18
28386000,0.14,BID,2022-10-07,04:54:19
28386000,1.999e-05,BID,2022-10-07,04:54:19
28396000,0.01762869,BID,2022-10-07,04:54:19
28394000,0.00044475,BID,2022-10-07,04:54:19
28395000,0.03013476,BID,2022-10-07,04:54:19
28396000,0.01375584,BID,2022-10-07,04:54:19
