,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,220101,925,-0.005664812146234665,647.0,1.0185356452203052,-0.005255425464023379,647.0,1.0185356452203052,0.49999958333368055,0.36819298148176194,12,-0.07495429972994595,6,0.4187583848371133,3,-1.1373339685940105
1,220101,930,-0.009921931129746176,637.0,1.0273146050145183,-0.009165941874867583,637.0,1.0273146050145183,0.36842085872586383,1.3223717738713319,19,0.0883004191282728,7,0.9831389166463164,7,-0.7434663504410045
2,220101,935,-0.006360643987041468,598.0,1.042985377175974,-0.010573842926408956,598.0,1.042985377175974,0.3333322222259259,23.082437275985665,3,0.8000883071009298,1,2.5089605734767026,1,-0.10869565217391304
3,220101,940,-0.009876546279343347,587.0,0.9771445397564811,-0.010867032376344432,587.0,0.9771445397564811,0.3333322222259259,1.1111111111111114,3,0.020056157240272803,1,0.601684717208183,1,-0.5415162454873645
4,220101,945,-0.01003231000043557,572.0,0.9847582339650737,-0.011343899810577941,572.0,0.9847582339650737,0.0,,4,-0.4184749313604043,0,,3,-0.5579665751472057
5,220201,925,-0.0052071905970448255,626.0,1.0446872333616777,-0.008669787934774494,626.0,1.0446872333616777,0.49999875000312505,2.0978594699410444,4,0.16609765799802956,2,0.43614541994616307,1,-0.2079002079002079
6,220201,930,-0.005730680028867084,599.0,1.0600909830295293,-0.006840911248102129,599.0,1.0600909830295293,0.0,,0,,0,,0,
7,220201,935,-0.009384977027560708,551.0,1.065096024011748,-0.008744834103759327,551.0,1.065096024011748,0.44444434567903424,1.0623350056013932,45,0.03327272067301621,20,0.7079738444392244,19,-0.6664318136051978
8,220201,940,-0.006548252511364095,551.0,1.0923646081773644,-0.005782010526045179,551.0,1.0923646081773644,0.0,,1,0.0,0,,0,
9,220201,945,-0.008977611874339797,554.0,1.0590839295465617,-0.009615877468443265,554.0,1.0590839295465617,0.3333322222259259,1.6900269541778976,3,0.07336809720126504,1,0.5390835579514826,1,-0.3189792663476874
10,220301,925,-0.004942114859611445,618.0,1.0867082364354483,-0.0011723025144466561,618.0,1.0867082364354483,0.2812499121094024,0.8110616739833408,32,-0.2335288701958776,9,0.5664252432121616,18,-0.6983750575098632
11,220301,930,-0.009425218704941065,616.0,1.0972422230668926,-0.01052550141620105,616.0,1.0972422230668926,0.0,,0,,0,,0,
12,220301,935,-0.004508052305240284,577.0,1.1445886014020845,-0.007651313875357619,577.0,1.1445886014020845,0.0,,0,,0,,0,
13,220301,940,-0.009756693262421845,565.0,1.1835586614561142,-0.010587286760706988,565.0,1.1835586614561142,0.2857138775516035,0.7410015416392688,7,-0.14575210229361785,2,0.30024569230271875,4,-0.4051890251651906
14,220301,945,-0.006518024845721814,586.0,1.1429064401893145,-0.008935269218790669,586.0,1.1429064401893145,0.3913041776938358,1.02956209575995,23,-0.030768788867833786,9,0.42020037199216326,11,-0.40813504471724066
