,0,1,2,3,4,5,6,7,8,9
0,220101,925,0.8846153846153846,3.782060866873856,26,3.2893553015239334,23,3.8512216270533015,3,-1.0182865275345534
1,220101,930,0.7941176470588235,3.2095047966578165,34,2.537164363288384,27,3.475710713545909,7,-1.0829429877049266
2,220101,935,0.8148148148148148,1.6487879476593026,27,2.1628484982644225,22,3.0787928742908504,5,-1.867306756251858
3,220101,940,0.8378378378378378,3.6519802286931426,37,2.517529180065952,31,3.1729537364733504,6,-0.8688310280389411
4,220101,945,0.75,2.9491395256263266,36,2.0488714559696724,27,3.0799467287398676,9,-1.044354362340914
5,220101,950,0.8275862068965517,2.052816086036659,29,2.121182859087375,24,2.8525962621309002,5,-1.389601475521543
6,220101,955,0.6976744186046512,2.4232839556637815,43,1.6711548176248872,30,2.9169292325829033,13,-1.2037092168936114
7,220101,1000,0.5833333333333334,1.6517571504803412,36,0.7471531707209009,21,2.2567372699332235,15,-1.366264568176351
8,220101,1005,0.6071428571428571,0.47823013457392455,28,-0.22683876408598208,17,1.0583201697824431,11,-2.2129934800644575
9,220101,1010,0.64,1.7417946467815588,25,1.2247067543281454,16,2.8263553482845056,9,-1.622668523816495
10,220101,1015,0.375,0.9682640690433163,24,-0.33116771947668644,9,1.224347502667692,15,-1.2644768527633132
11,220101,1020,0.5416666666666666,1.6904282987902426,24,0.46489360347104886,13,1.7184407655700786,11,-1.0165712244641687
12,220101,1025,0.5217391304347826,1.1432972057839799,23,0.1493845780463257,12,1.4444185753657461,11,-1.2633797826657696
13,220101,1030,0.5833333333333334,1.4804107820989985,36,0.5082584884054615,21,1.6836445669032254,15,-1.1372820214914081
14,220101,1035,0.5454545454545454,0.5175645355969477,22,-0.20951940550447146,12,0.6295945854710419,10,-1.2164561946750876
15,220101,1040,0.6071428571428571,0.6960455177238646,28,0.036168189584856736,17,0.8464384611369224,11,-1.2160676846319722
16,220101,1045,0.5806451612903226,0.9207911331628151,31,0.1081190889027792,18,0.8634584435499062,13,-0.937735402147089
17,220101,1050,0.5945945945945946,2.9965932043930117,37,1.1901559666791326,22,2.5912059024796483,15,-0.864717272494957
18,220101,1055,0.5652173913043478,1.8450491664707471,46,0.6361322657962993,26,1.9301936607249197,20,-1.0461475476109068
19,220101,1100,0.6296296296296297,3.354137242684236,27,1.8800930777308456,17,3.621081017477747,10,-1.079586419838886
20,220101,1105,0.5476190476190477,2.4218682474607744,42,0.8845750949879352,23,2.451507952298609,19,-1.0122383638618289
21,220101,1110,0.717948717948718,2.1606327177925806,39,1.4882673497957033,28,2.5336192436448832,11,-1.1726283800022088
22,220101,1115,0.627906976744186,3.3800026021900713,43,1.3510703029022944,27,2.6091486272149362,16,-0.7719368693752897
23,220101,1120,0.6470588235294118,2.4072342951680756,34,1.0789783507700916,22,2.156050986452575,12,-0.8956548146477937
24,220101,1125,0.6857142857142857,3.5286118721392232,35,1.354193798906359,24,2.2696753316528375,11,-0.6432204543586839
25,220101,1130,0.65,4.139694366615369,40,1.4054059103980254,26,2.4854526673792594,14,-0.6003952097099805
26,220101,1135,0.6190476190476191,3.2341141307656267,42,1.0198842763315068,26,2.0346585489578657,16,-0.6291239166863266
27,220101,1140,0.5862068965517241,4.128913341165086,29,1.0317619466455725,17,2.123017234982404,12,-0.5141830451649384
28,220101,1145,0.6333333333333333,2.5947325525064504,30,0.6075206918052293,19,1.2347444411241646,11,-0.47586578429111337
29,220101,1150,0.6363636363636364,2.7609587579668617,33,1.0171939910126016,21,2.015614218999901,12,-0.7300414079651723
30,220101,1155,0.6363636363636364,2.555966349509197,33,0.9896107537315124,21,2.0028794577662956,12,-0.7836094783293581
31,220101,1200,0.5833333333333334,3.2123222048747753,24,0.9869178697917705,14,2.175627503187328,10,-0.67727561696201
32,220101,1205,0.625,2.582677616200478,32,0.9139161616122301,20,1.9047783013382031,12,-0.7375207379310583
33,220101,1210,0.8333333333333334,1.4805753845989444,18,0.9412877391302392,15,1.3059574373913108,3,-0.8820607521751188
34,220101,1215,0.5142857142857142,3.905494772535674,35,0.974208892611514,18,2.498491639707831,17,-0.6397375454904694
35,220101,1220,0.5357142857142857,3.5171946965016896,28,0.7452412018774938,15,1.8459827489441545,13,-0.524845198584038
36,220101,1225,0.6060606060606061,3.1144531545859104,33,0.9582176733439385,20,1.9980638229844054,13,-0.641545633795241
37,220101,1230,0.6382978723404256,2.7000984591271417,47,0.8814193983153235,30,1.7476724727328918,17,-0.6472624977156797
38,220101,1235,0.6,2.981451714033866,20,0.5245680008506396,12,1.126075879804547,8,-0.3776938175802219
39,220101,1240,0.6842105263157895,4.4961754146742585,19,0.566884757519647,13,0.9233020781540234,6,-0.20535277052150228
40,220101,1245,0.625,2.4279849011884114,24,0.7121439264120871,15,1.5134258053684986,9,-0.623325871848598
41,220101,1250,0.5555555555555556,2.6608355852031416,27,0.6278976107519347,15,1.61611169504086,12,-0.6073699946092227
42,220101,1255,0.5483870967741935,1.978972926657841,31,0.4286203895025971,17,1.3386798691117883,14,-0.6764518357371355
43,220101,1300,0.6451612903225806,2.6915978481008986,31,0.7305958535171319,20,1.4232498668216491,11,-0.5287750797638089
44,220101,1305,0.5625,1.521786319916693,32,0.3490075523481162,18,1.2690772302373958,14,-0.833939176366672
45,220201,925,0.8837209302325582,3.5252760243896066,43,2.5490737616778567,38,2.99631393865441,5,-0.8499515833439496
