,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,220101,925,-0.04366083154074152,663.0,0.9452956316054079,-0.041121930543081234,663.0,0.9452956316054079,0.0,,0,,0,,0,
1,220101,930,-0.048522157349592074,658.0,0.948120929620417,-0.044627833497410736,658.0,0.948120929620417,0.9999966666777778,,3,6.028143671585453,3,6.028143671585453,0,
2,220101,935,-0.03167806037440442,658.0,0.9504509722213625,-0.041768809862467025,658.0,0.9504509722213625,0.0,,0,,0,,0,
3,220101,940,-0.03687193046593457,679.0,0.9247947157287292,-0.03578781738811341,679.0,0.9247947157287292,0.9999900000999989,,1,0.24067388688327318,1,0.24067388688327318,0,
4,220101,945,-0.035861987762725166,665.0,0.9280559651505077,-0.03038524229083812,665.0,0.9280559651505077,0.0,,1,-2.681992337164751,0,,1,-2.681992337164751
5,220101,950,-0.03475102921954836,676.0,0.9188317470605891,-0.0386660165975479,676.0,0.9188317470605891,0.7999984000032001,0.8254771815056009,5,0.7002003729345715,4,1.2554786030503435,1,-1.520912547528517
6,220101,955,-0.03895056477865231,651.0,0.9606580610827707,-0.03503669866658365,651.0,0.9606580610827707,0.7999992000008,0.8382761097062663,10,0.7227090002816983,8,1.2872987684055905,2,-1.5356500722138708
7,220101,1000,-0.043956292930373134,677.0,0.8965939942092463,-0.033365620810554934,677.0,0.8965939942092463,0.4999991666680556,0.9512674172283895,6,-0.02827366817617964,3,1.1038125940328827,3,-1.1603599303852417
8,220101,1005,-0.03258305973454758,663.0,0.9594697655026985,-0.031185598380841936,663.0,0.9594697655026985,0.49999875000312505,0.42863103244808937,4,-0.38523399361113503,2,0.57799164390439,2,-1.34845963112666
9,220101,1010,-0.027989307226460206,667.0,0.9875036187555551,-0.03506431715441964,667.0,0.9875036187555551,0.49999875000312505,2.206928652632174,4,0.5776480329940088,2,2.112515917773331,2,-0.9572198517853132
10,220101,1015,-0.028540996134591316,663.0,0.9847873415028913,-0.03370704162726233,663.0,0.9847873415028913,0.0,,1,-1.3605442176870748,0,,1,-1.3605442176870748
11,220101,1020,-0.026494173053456534,662.0,1.0268516260152447,-0.029703501453944615,662.0,1.0268516260152447,0.49999750001249993,2.75625,2,1.1947278911564627,1,3.75,1,-1.3605442176870748
12,220101,1025,-0.015748262861559316,656.0,1.0584231918969238,-0.023284927274072515,656.0,1.0584231918969238,0.0,,0,,0,,0,
13,220101,1030,-0.02654572078383473,652.0,1.1110972248978472,-0.018181297920910534,652.0,1.1110972248978472,0.6666644444518518,1.3702763104429094,3,0.7893662679754282,2,1.8643215108066795,1,-1.3605442176870748
14,220101,1035,-0.02901123784650422,658.0,1.0755206727232742,-0.022859543233942917,658.0,1.0755206727232742,0.49999750001249993,0.5647639956092206,2,-0.29607891455155055,1,0.7683863885839737,1,-1.3605442176870748
15,220101,1040,-0.01512360033291716,658.0,1.0426889456914001,-0.027063764074917906,658.0,1.0426889456914001,0.7499981250046875,1.9257675792042732,4,1.6249329039499387,3,2.6200919444956097,1,-1.3605442176870748
16,220101,1045,-0.020511231948241195,656.0,1.0132484838811955,-0.026902127440221413,656.0,1.0132484838811955,0.49999750001249993,0.7195121951219512,2,-0.23770152955766843,1,1.2195121951219512,1,-1.694915254237288
17,220101,1050,-0.019210360840938183,663.0,0.9924942471158399,-0.027571330377351214,663.0,0.9924942471158399,0.6666644444518518,1.1939435216622278,3,0.6294272305326329,2,1.6244129546424868,1,-1.3605442176870748
18,220101,1055,-0.017690964552139664,646.0,1.009622202111201,-0.02100213418522067,646.0,1.009622202111201,0.9999900000999989,,1,0.9615384615384616,1,0.9615384615384616,0,
19,220101,1100,-0.02024900741306445,654.0,1.0030562308697692,-0.023279824596337182,654.0,1.0030562308697692,0.6666644444518518,0.7176326530612245,3,0.24591260232906728,2,1.2163265306122448,1,-1.694915254237288
20,220101,1105,-0.013784893509816676,648.0,1.0077789227626945,-0.019337651647458574,648.0,1.0077789227626945,0.6666644444518518,0.46152124735472255,3,-0.05199831438551008,2,0.9355160419352485,1,-2.027027027027027
21,220101,1110,-0.018373174171746876,657.0,0.9470910143333882,-0.021851526806203118,657.0,0.9470910143333882,0.8333319444467593,0.8886517476351949,6,1.3525707725719318,5,2.0944653984667894,1,-2.356902356902357
22,220101,1115,-0.017787423966453355,658.0,0.9798281539129091,-0.020972476794774167,658.0,0.9798281539129091,0.0,,0,,0,,0,
