,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,220601,925,20220301,20220601,20220701,-0.00028465095185600743,0.2518796992481203,,266,0.2518796992481203,67,1.0,0,,158,0.2721518987341772,43,1.0,0,
1,220601,930,20220301,20220601,20220701,0.002777057545403444,0.23228346456692914,,254,0.23228346456692914,59,1.0,0,,221,0.38009049773755654,84,1.0,0,
2,220601,935,20220301,20220601,20220701,0.00016008842110173225,0.3557312252964427,,253,0.3557312252964427,90,1.0,0,,185,0.34594594594594597,64,1.0,0,
3,220601,940,20220301,20220601,20220701,0.0021932894672842813,0.3684210526315789,,323,0.3684210526315789,119,1.0,0,,134,0.23134328358208955,31,1.0,0,
4,220601,945,20220301,20220601,20220701,0.0024334080434371998,0.3515625,,256,0.3515625,90,1.0,0,,143,0.3776223776223776,54,1.0,0,
5,220601,950,20220301,20220601,20220701,0.0001854873238353731,0.3516949152542373,,236,0.3516949152542373,83,1.0,0,,214,0.3644859813084112,78,1.0,0,
6,220601,955,20220301,20220601,20220701,0.0020775378968900505,0.3516949152542373,,236,0.3516949152542373,83,1.0,0,,267,0.3857677902621723,103,1.0,0,
7,220601,1000,20220301,20220601,20220701,0.002828092634726535,0.35443037974683544,,237,0.35443037974683544,84,1.0,0,,272,0.3713235294117647,101,1.0,0,
8,220601,1005,20220301,20220601,20220701,-0.0005042305883181987,0.32751091703056767,,229,0.32751091703056767,75,1.0,0,,189,0.2804232804232804,53,1.0,0,
9,220601,1010,20220301,20220601,20220701,0.002622960845403689,0.233502538071066,,197,0.233502538071066,46,1.0,0,,202,0.3415841584158416,69,1.0,0,
10,220601,1015,20220301,20220601,20220701,-0.0015261647918668464,0.33163265306122447,,196,0.33163265306122447,65,1.0,0,,202,0.3564356435643564,72,1.0,0,
11,220601,1020,20220301,20220601,20220701,-8.708604113721711e-05,0.336734693877551,,196,0.336734693877551,66,1.0,0,,251,0.3944223107569721,99,1.0,0,
12,220601,1025,20220301,20220601,20220701,0.0006649620900980899,0.4169014084507042,,355,0.4169014084507042,148,1.0,0,,233,0.4291845493562232,100,1.0,0,
13,220601,1030,20220301,20220601,20220701,0.0015918761390060153,0.2905027932960894,,179,0.2905027932960894,52,1.0,0,,160,0.34375,55,1.0,0,
14,220601,1035,20220301,20220601,20220701,-0.001321506379665074,0.3235294117647059,,170,0.3235294117647059,55,1.0,0,,116,0.27586206896551724,32,1.0,0,
15,220601,1040,20220301,20220601,20220701,-0.0015666934426011492,0.33189655172413796,,232,0.33189655172413796,77,1.0,0,,161,0.2795031055900621,45,1.0,0,
16,220601,1045,20220301,20220601,20220701,0.0009599205998287145,0.2676056338028169,,213,0.2676056338028169,57,1.0,0,,177,0.2711864406779661,48,1.0,0,
17,220601,1050,20220301,20220601,20220701,0.00036503874091808034,0.39325842696629215,,178,0.39325842696629215,70,1.0,0,,252,0.36507936507936506,92,1.0,0,
18,220601,1055,20220301,20220601,20220701,-0.0030412151078043556,0.4,,190,0.4,76,1.0,0,,198,0.3181818181818182,63,1.0,0,
19,220601,1100,20220301,20220601,20220701,-0.00255774301829856,0.4367469879518072,,332,0.4367469879518072,145,1.0,0,,160,0.25625,41,1.0,0,
20,220601,1105,20220301,20220601,20220701,-0.0006256071864446482,0.38869257950530034,,283,0.38869257950530034,110,1.0,0,,186,0.3763440860215054,70,1.0,0,
21,220601,1110,20220301,20220601,20220701,-0.003298894914657768,0.4259927797833935,,277,0.4259927797833935,118,1.0,0,,190,0.30526315789473685,58,1.0,0,
22,220601,1115,20220301,20220601,20220701,-0.0022131966762882404,0.35294117647058826,,153,0.35294117647058826,54,1.0,0,,157,0.267515923566879,42,1.0,0,
23,220601,1120,20220301,20220601,20220701,-0.002691874292594089,0.3347457627118644,,236,0.3347457627118644,79,1.0,0,,214,0.3130841121495327,67,1.0,0,
24,220601,1125,20220301,20220601,20220701,-0.00039014694580026527,0.3948497854077253,,233,0.3948497854077253,92,1.0,0,,177,0.3615819209039548,64,1.0,0,
25,220601,1130,20220301,20220601,20220701,-0.0038876306744348725,0.35877862595419846,,262,0.35877862595419846,94,1.0,0,,147,0.29931972789115646,44,1.0,0,
26,220601,1135,20220301,20220601,20220701,-0.0019073053732750985,0.42435424354243545,,271,0.42435424354243545,115,1.0,0,,162,0.35802469135802467,58,1.0,0,
27,220601,1140,20220301,20220601,20220701,-0.002620607395230488,0.32882882882882886,,222,0.32882882882882886,73,1.0,0,,198,0.2727272727272727,54,1.0,0,
28,220601,1145,20220301,20220601,20220701,-0.0020437009006533287,0.33136094674556216,,169,0.33136094674556216,56,1.0,0,,183,0.2568306010928962,47,1.0,0,
29,220601,1150,20220301,20220601,20220701,-0.0015312381233187195,0.31272727272727274,,275,0.31272727272727274,86,1.0,0,,157,0.22929936305732485,36,1.0,0,
30,220601,1155,20220301,20220601,20220701,-0.0014941187211638949,0.24444444444444444,,180,0.24444444444444444,44,1.0,0,,218,0.3302752293577982,72,1.0,0,
31,220601,1200,20220301,20220601,20220701,-0.0002894826854084863,0.25925925925925924,,189,0.25925925925925924,49,1.0,0,,182,0.2802197802197802,51,1.0,0,
32,220601,1205,20220301,20220601,20220701,-0.001398168569574167,0.3554817275747508,,301,0.3554817275747508,107,1.0,0,,219,0.3105022831050228,68,1.0,0,
33,220601,1210,20220301,20220601,20220701,-0.00305599895990678,0.3778501628664495,,307,0.3778501628664495,116,1.0,0,,173,0.2774566473988439,48,1.0,0,
34,220601,1215,20220301,20220601,20220701,-0.00011501517043056075,0.22285714285714286,,175,0.22285714285714286,39,1.0,0,,181,0.27071823204419887,49,1.0,0,
35,220601,1220,20220301,20220601,20220701,5.828304806772642e-05,0.40977443609022557,,266,0.40977443609022557,109,1.0,0,,182,0.34615384615384615,63,1.0,0,
36,220601,1225,20220301,20220601,20220701,0.000937671483275467,0.32515337423312884,,163,0.32515337423312884,53,1.0,0,,210,0.23333333333333334,49,1.0,0,
37,220601,1230,20220301,20220601,20220701,-0.000461546476998363,0.3128205128205128,,195,0.3128205128205128,61,1.0,0,,194,0.27835051546391754,54,1.0,0,
38,220601,1235,20220301,20220601,20220701,0.0012674855193113542,0.32673267326732675,,202,0.32673267326732675,66,1.0,0,,264,0.32196969696969696,85,1.0,0,
39,220601,1240,20220301,20220601,20220701,0.0006614476373860864,0.2864583333333333,,192,0.2864583333333333,55,1.0,0,,212,0.30660377358490565,65,1.0,0,
40,220601,1245,20220301,20220601,20220701,0.0038247338816405057,0.24120603015075376,,199,0.24120603015075376,48,1.0,0,,156,0.391025641025641,61,1.0,0,
41,220601,1250,20220301,20220601,20220701,-0.0004092349050934985,0.23232323232323232,,198,0.23232323232323232,46,1.0,0,,176,0.25,44,1.0,0,
42,220601,1255,20220301,20220601,20220701,0.0019091763379950064,0.2694063926940639,,219,0.2694063926940639,59,1.0,0,,206,0.32524271844660196,67,1.0,0,
43,220601,1300,20220301,20220601,20220701,0.00246451108058019,0.20606060606060606,,165,0.20606060606060606,34,1.0,0,,197,0.2893401015228426,57,1.0,0,
44,220601,1305,20220301,20220601,20220701,0.0006306734848874514,0.28061224489795916,,196,0.28061224489795916,55,1.0,0,,244,0.3237704918032787,79,1.0,0,
